,股票代码,股票简称,注册地,办公地,中文全称,所属城市
976,002442,龙星化工,河北省沙河市,河北省沙河市,龙星化工股份有限公司,邢台
977,002443,金洲管道,浙江省湖州市,浙江省湖州市,浙江金洲管道科技股份有限公司,湖州
978,002444,巨星科技,杭州,杭州,杭州巨星科技股份有限公司,杭州
979,002445,中南文化,江苏省江阴市,江苏省江阴市,中南红文化集团股份有限公司,无锡
980,002446,盛路通信,佛山,佛山,广东盛路通信科技股份有限公司,佛山
981,002447,*ST 晨鑫,辽宁省大连市,辽宁省大连市,大连晨鑫网络科技股份有限公司,大连
982,002448,中原内配,河南省孟州市,郑州,中原内配集团股份有限公司,焦作
983,002449,国星光电,佛山,佛山,佛山市国星光电股份有限公司,佛山
984,002450,*ST 康得,江苏省张家港市,江苏省张家港市,康得新复合材料集团股份有限公司,张家港
985,002451,摩恩电气,上海,上海,上海摩恩电气股份有限公司,上海
986,002452,长高集团,长沙,长沙,湖南长高高压开关集团股份公司,长沙
987,002453,华软科技,苏州,苏州,金陵华软科技股份有限公司,苏州
988,002454,松芝股份,上海,上海,上海加冷松芝汽车空调股份有限公司,上海
989,002455,百川股份,江苏省江阴市,江苏省江阴市,江苏百川高科新材料股份有限公司,无锡
990,002456,欧菲光,深圳,深圳,欧菲光集团股份有限公司,深圳
991,002457,青龙管业,宁夏回族自治区青铜峡市,宁夏回族自治区银川市,宁夏青龙管业集团股份有限公司,吴忠
992,002458,益生股份,山东省烟台市,山东省烟台市,山东益生种畜禽股份有限公司,烟台
993,002459,晶澳科技,河北省邢台市,北京,晶澳太阳能科技股份有限公司,邢台
994,002460,赣锋锂业,江西省新余市,江西省新余市,江西赣锋锂业股份有限公司,新余
995,002461,珠江啤酒,广州,广州,广州珠江啤酒股份有限公司,广州
996,002462,嘉事堂,北京,北京,嘉事堂药业股份有限公司,北京
997,002463,沪电股份,江苏省昆山市,江苏省昆山市,沪士电子股份有限公司,苏州
998,002464,*ST 众应,浙江省龙泉市,上海,众应互联科技股份有限公司,龙泉
999,002465,海格通信,广州,广州,广州海格通信集团股份有限公司,广州
1000,002466,天齐锂业,四川省射洪市,成都,天齐锂业股份有限公司,遂宁
1001,002467,二六三,北京,北京,二六三网络通信股份有限公司,北京
1002,002468,申通快递,浙江省玉环市,上海,申通快递股份有限公司,台州
1003,002469,三维化学,山东省淄博市,山东省淄博市,山东三维化学集团股份有限公司,淄博
1004,002470,ST 金正,山东省临沂市,山东省临沂市,金正大生态工程集团股份有限公司,临沂
1005,002471,中超控股,江苏省宜兴市,江苏省宜兴市,江苏中超控股股份有限公司,无锡
1006,002472,双环传动,浙江省玉环市,杭州,浙江双环传动机械股份有限公司,台州
1007,002473,*ST 圣莱,宁波,宁波,宁波圣莱达电器股份有限公司,宁波
1008,002474,榕基软件,福建省福州市,福建省福州市,福建榕基软件股份有限公司,福州
1009,002475,立讯精密,深圳,东莞,立讯精密工业股份有限公司,深圳
1010,002476,宝莫股份,山东省东营市,山东省东营市,山东宝莫生物化工股份有限公司,东营
1011,002477,雏鹰农牧,河南省新郑市,河南省新郑市,江苏百川高科新材料股份有限公司,郑州
1012,002478,常宝股份,江苏省常州市,江苏省常州市,江苏常宝钢管股份有限公司,常州
1013,002479,富春环保,杭州,杭州,浙江富春江环保热电股份有限公司,杭州
1014,002480,新筑股份,成都,成都,成都市新筑路桥机械股份有限公司,成都
1015,002481,双塔食品,山东省招远市,山东省招远市,烟台双塔食品股份有限公司,烟台
1016,002482,广田集团,深圳,深圳,深圳广田集团股份有限公司,深圳
1017,002483,润邦股份,江苏省南通市,江苏省南通市,江苏润邦重工股份有限公司,南通
1018,002484,江海股份,江苏省南通市,江苏省南通市,南通江海电容器股份有限公司,南通
1019,002485,雪松发展,山东省诸城市,广州,雪松发展股份有限公司,潍坊
1020,002486,嘉麟杰,上海,上海,上海嘉麟杰纺织品股份有限公司,上海
