,city,stkcd
87,泉州,002029#002098#002102#600573#300198#603555#603636#603678#603696#603879
88,泰州,600099#600854#300258#300354#603117#603358
89,衡阳,000590#600698#300530#603319
90,漳州,000753#600436#600592#300650
91,成都,000155#000586#000593#000598#000790#002023#002190#002253#002259#002268#002312#002422#002480#300019#300022#300028#300101#300127#600039#600109#600321#600353#600391#600392#600438#600466#600674#600767#600779#600804#600828#600875#600880#601107#002539#300249#000628#002628#002651#002697#000693#300362#300366#300425#300440#300434#300414#300467#300463#300471#300470#002773#300492#002777#300502#601811#300535#300540#300559#002818#603679#300678#300696#603809#300733#601838#002926#300504#002935
92,芜湖,000619#002171#002298#002361#300088#600255#600575#600585#002555#603527#603596
93,扬州,002391#600213#600486#600513#600973#002559#300373#300507#300610#002866#603059#603013
94,盐城,000816#002496#002530#600805#603810
95,佛山,000527#000533#000541#000921#000973#002054#002076#002260#002291#002295#002446#002449#300004#600323#600499#002543#300173#002666#002676#000333#002705#002711#603288#300415#300417#300464#300599#300619#300629#603725#300720#002911#002918#002922#300737#603348
96,烟台,600219#002041#000682#000811#000869#002086#002234#002237#002254#002353#002458#300105#600766#300175#300224#002589#002643#300308#002675#603167#002726#002746#300423#603779#601966#002838#603638#002890#002891
97,潮州,000602#300089#300408#603268#603838#002836#002842#300639
98,宿迁,002304#300160#002585
99,肇庆,000636#300063#600866#300176#002715#002806
100,宜昌,600293#000422#000826#600141#600298#002627
